Instrument Serial Num,Reading #,Date,Time,Method Name,User Factor Name,Test Label,Collimation Status,Latitude,Longitude, Units,Mg Compound,Mg Compound Level,Mg Compound Error,Mg Concentration,Mg Error1s,Al Compound,Al Compound Level,Al Compound Error,Al Concentration,Al Error1s,Si Compound,Si Compound Level,Si Compound Error,Si Concentration,Si Error1s,P Compound,P Compound Level,P Compound Error,P Concentration,P Error1s,S Compound,S Compound Level,S Compound Error,S Concentration,S Error1s,K Compound,K Compound Level,K Compound Error,K Concentration,K Error1s,Ca Compound,Ca Compound Level,Ca Compound Error,Ca Concentration,Ca Error1s,Ti Compound,Ti Compound Level,Ti Compound Error,Ti Concentration,Ti Error1s,V Compound,V Compound Level,V Compound Error,V Concentration,V Error1s,Cr Compound,Cr Compound Level,Cr Compound Error,Cr Concentration,Cr Error1s,Mn Compound,Mn Compound Level,Mn Compound Error,Mn Concentration,Mn Error1s,Fe Compound,Fe Compound Level,Fe Compound Error,Fe Concentration,Fe Error1s,Co Compound,Co Compound Level,Co Compound Error,Co Concentration,Co Error1s,Ni Compound,Ni Compound Level,Ni Compound Error,Ni Concentration,Ni Error1s,Cu Compound,Cu Compound Level,Cu Compound Error,Cu Concentration,Cu Error1s,Zn Compound,Zn Compound Level,Zn Compound Error,Zn Concentration,Zn Error1s,As Compound,As Compound Level,As Compound Error,As Concentration,As Error1s,Se Compound,Se Compound Level,Se Compound Error,Se Concentration,Se Error1s,Rb Compound,Rb Compound Level,Rb Compound Error,Rb Concentration,Rb Error1s,Sr Compound,Sr Compound Level,Sr Compound Error,Sr Concentration,Sr Error1s,Y Compound,Y Compound Level,Y Compound Error,Y Concentration,Y Error1s,Zr Compound,Zr Compound Level,Zr Compound Error,Zr Concentration,Zr Error1s,Nb Compound,Nb Compound Level,Nb Compound Error,Nb Concentration,Nb Error1s,Mo Compound,Mo Compound Level,Mo Compound Error,Mo Concentration,Mo Error1s,Ag Compound,Ag Compound Level,Ag Compound Error,Ag Concentration,Ag Error1s,Cd Compound,Cd Compound Level,Cd Compound Error,Cd Concentration,Cd Error1s,Sn Compound,Sn Compound Level,Sn Compound Error,Sn Concentration,Sn Error1s,Sb Compound,Sb Compound Level,Sb Compound Error,Sb Concentration,Sb Error1s,W Compound,W Compound Level,W Compound Error,W Concentration,W Error1s,Hg Compound,Hg Compound Level,Hg Compound Error,Hg Concentration,Hg Error1s,Pb Compound,Pb Compound Level,Pb Compound Error,Pb Concentration,Pb Error1s,Bi Compound,Bi Compound Level,Bi Compound Error,Bi Concentration,Bi Error1s,Th Compound,Th Compound Level,Th Compound Error,Th Concentration,Th Error1s,U Compound,U Compound Level,U Compound Error,U Concentration,U Error1s,LE Compound,LE Compound Level,LE Compound Error,LE Concentration,LE Error1s,Notes,Operator,Project No.,Sample ID,Sample Type,Real Time 1,Real Time 2,Source,info
801021,55,2018-11-14,14:16:16,Geochem(2),,55,No,,,PPM,,,,0,3746,,,,77461,656,,,,312197,776,,,,0,69,,,,901,33,,,,30651,93,,,,15193,55,TiO2,4768.59,130.271,2858,78,,,,145,9,,,,0,38,,,,428,14,,,,17677,69,,,,0,83,,,,27,3,,,,66,3,,,,60,2,,,,0,10,,,,0,5,,,,124,1,,,,423,2,,,,9,1,,,,181,1,,,,19,1,,,,11,1,,,,0,246,,,,0,297,,,,0,490,,,,0,655,,,,11,3,,,,0,44,,,,15,1,,,,0,109,,,,20,3,,,,5,1,,,,541516,1053,core,NHW,17-1055-006,245,core,60,60,BVR,BVR-245
801021,60,2018-11-14,14:30:00,Geochem(2),,60,No,,,PPM,,,,0,4288,,,,74544,686,,,,300025,806,,,,0,77,,,,1024,36,,,,29965,97,,,,15378,59,TiO2,4701.29,135.926,2818,81,,,,127,10,,,,0,40,,,,402,14,,,,17294,72,,,,0,86,,,,24,3,,,,73,3,,,,58,2,,,,3,1,,,,0,6,,,,122,1,,,,417,2,,,,10,1,,,,183,2,,,,21,1,,,,13,1,,,,0,261,,,,0,315,,,,0,519,,,,0,692,,,,15,3,,,,0,46,,,,17,1,,,,0,116,,,,26,3,,,,5,1,,,,557436,1105,expedient tool,NHW,17-1055-006,245a,expedient tool,60,60,BVR,BVR-245a
801021,61,2018-11-14,14:33:07,Geochem(2),,61,No,,,PPM,,,,0,3099,,,,81259,607,,,,328995,727,,,,0,56,,,,948,29,,,,31495,86,,,,15488,51,TiO2,4996.9,123.172,2995,74,,,,133,9,,,,39,12,,,,436,13,,,,18737,66,,,,0,79,,,,22,3,,,,67,3,,,,62,2,,,,3,1,,,,0,5,,,,129,1,,,,434,2,,,,10,1,,,,189,1,,,,18,1,,,,7,1,,,,0,226,,,,0,272,,,,0,449,,,,0,597,,,,0,54,,,,0,39,,,,19,1,,,,0,101,,,,21,3,,,,0,67,,,,518494,974,formal tool,NHW,17-1055-006,250,formal tool,60,60,BVR,BVR-250
801021,62,2018-11-14,14:40:22,Geochem(2),,62,No,,,PPM,,,,0,2929,,,,85090,603,,,,316688,688,,,,194,36,,,,920,27,,,,39262,98,,,,17130,53,TiO2,4478,115.337,2684,69,,,,131,8,,,,36,11,,,,460,13,,,,18531,64,,,,0,77,,,,10,3,,,,53,2,,,,85,2,,,,0,9,,,,0,5,,,,125,1,,,,435,2,,,,7,1,,,,183,1,,,,15,1,,,,0,39,,,,0,216,,,,0,258,,,,0,416,,,,0,549,,,,0,54,,,,0,38,,,,17,1,,,,0,97,,,,11,3,,,,6,1,,,,517927,949,formal tool,NHW,17-1055-006,251,formal tool,60,60,BVR,BVR-251
801021,63,2018-11-14,14:44:43,Geochem(2),,63,No,,,PPM,,,,0,2826,,,,83784,645,,,,299775,703,,,,434,39,,,,1018,29,,,,53087,132,,,,17974,59,TiO2,4194.46,119.558,2514,72,,,,118,9,,,,74,12,,,,465,14,,,,18982,69,,,,0,82,,,,0,15,,,,38,2,,,,117,3,,,,3,1,,,,0,5,,,,120,1,,,,444,2,,,,9,1,,,,177,1,,,,18,1,,,,8,1,,,,0,226,,,,0,270,,,,0,430,,,,0,562,,,,0,58,,,,0,41,,,,16,1,,,,0,104,,,,15,3,,,,0,70,,,,520808,1009,formal tool,NHW,17-1055-006,252,formal tool,60,60,BVR,BVR-252
801021,64,2018-11-14,14:48:16,Geochem(2),,64,No,,,PPM,,,,0,2649,,,,83305,605,,,,320106,701,,,,660,39,,,,1016,28,,,,38076,97,,,,17728,55,TiO2,4535.59,117.582,2719,70,,,,102,8,,,,42,11,,,,480,13,,,,17595,62,,,,0,76,,,,18,3,,,,41,2,,,,72,2,,,,0,9,,,,0,5,,,,121,1,,,,418,2,,,,7,1,,,,187,1,,,,15,1,,,,0,39,,,,0,221,,,,0,264,,,,0,430,,,,0,567,,,,0,55,,,,0,39,,,,16,1,,,,0,98,,,,10,3,,,,0,66,,,,517266,960,formal tool,NHW,17-1055-006,253,formal tool,60,60,BVR,BVR-253
801021,67,2018-11-14,15:17:38,Geochem(2),,67,No,,,PPM,,,,0,3108,,,,82870,604,,,,321132,718,,,,0,57,,,,854,28,,,,30480,84,,,,15016,50,TiO2,4443.22,116.594,2663,70,,,,133,8,,,,0,35,,,,440,13,,,,17188,62,,,,0,76,,,,17,3,,,,54,3,,,,61,2,,,,3,1,,,,0,5,,,,124,1,,,,416,2,,,,9,1,,,,184,1,,,,18,1,,,,6,1,,,,0,225,,,,0,271,,,,0,448,,,,0,598,,,,0,55,,,,0,39,,,,14,1,,,,0,99,,,,10,3,,,,5,1,,,,528306,970,expedient tool,NHW,17-1055-006,263,expedient tool,60,60,BVR,BVR-263
801021,68,2018-11-14,15:20:37,Geochem(2),,68,No,,,PPM,,,,0,3168,,,,80130,611,,,,318925,729,,,,0,58,,,,847,29,,,,31040,87,,,,14589,50,TiO2,4686.93,120.471,2809,72,,,,132,9,,,,45,11,,,,426,13,,,,17819,64,,,,0,79,,,,17,3,,,,62,3,,,,60,2,,,,0,9,,,,0,5,,,,123,1,,,,416,2,,,,9,1,,,,177,1,,,,17,1,,,,5,1,,,,0,228,,,,0,275,,,,0,454,,,,0,606,,,,10,3,,,,0,41,,,,17,1,,,,0,102,,,,16,3,,,,0,68,,,,532308,984,formal tool,NHW,17-1055-006,266,formal tool,60,60,BVR,BVR-266
801021,69,2018-11-14,15:24:07,Geochem(2),,69,No,,,PPM,,,,0,4061,,,,74168,662,,,,282659,757,,,,0,76,,,,918,32,,,,27744,88,,,,22192,70,TiO2,6642.13,144.79,3981,87,,,,160,10,,,,68,13,,,,568,15,,,,28351,97,,,,0,106,,,,42,4,,,,79,3,,,,80,2,,,,3,1,,,,0,6,,,,115,1,,,,571,3,,,,11,1,,,,180,2,,,,19,1,,,,11,1,,,,0,242,,,,0,292,,,,0,482,,,,0,641,,,,0,61,,,,0,45,,,,17,1,,,,0,109,,,,22,3,,,,0,73,,,,558038,1087,core,NHW,17-1055-006,269,core,60,60,BVR,BVR-269
801021,70,2018-11-14,15:28:16,Geochem(2),,70,No,,,PPM,,,,0,3672,,,,68003,577,,,,273876,719,,,,0,67,,,,818,28,,,,27496,84,,,,13715,50,TiO2,4344.68,113.996,2604,68,,,,128,8,,,,0,38,,,,413,12,,,,16212,63,,,,0,82,,,,16,3,,,,56,3,,,,56,2,,,,3,1,,,,0,5,,,,110,1,,,,381,2,,,,8,1,,,,163,1,,,,19,1,,,,8,1,,,,0,241,,,,0,290,,,,0,478,,,,0,638,,,,0,59,,,,0,43,,,,16,1,,,,0,107,,,,16,2,,,,6,1,,,,595879,1003,debitage-ctx,NHW,17-1055-006,271,debitage,60,60,BVR,BVR-271
